title,original_price,special_price,meta_score,meta_reviews,user_score,user_reviews,release_date,publisher,genre
Nickelodeon All-Star Brawl,69.95,6.99,65,18,5.6,51,05-10-2021,GameMill Entertainment,2D Fighting
Cattails,21.99,2.85,75,12,6.7,26,29-11-2018,Falcon Development,Action RPG
The Jackbox Party Pack 9,45.0,27.0,81,6,,,20-10-2022,"Jackbox Games, Inc.",Party
The Jackbox Party Pack 5,39.0,21.45,78,14,7.4,14,17-10-2018,"Jackbox Games, Inc.",Party
Going Under,28.95,7.23,78,11,7.6,25,24-09-2020,Team17,Action Adventure
Rogue Lords,45.0,4.5,72,16,4.5,17,30-09-2021,Nacon,Roguelike
Coffee Simulator Tycoon,7.5,3.0,,,,,24-05-2024,SimulaMaker,Tycoon
Ship of Fools,27.99,11.19,77,10,7.2,10,22-11-2022,Team17,Roguelike
Ultimate Fishing Simulator,30.0,3.0,47,6,7.2,5,29-05-2020,Ultimate Games,Fishing
Chocolate Factory Tycoon,7.5,3.0,,,,,23-05-2024,SimulaMaker,Tycoon
THE GAME OF LIFE 2 - Complete Collection,60.0,30.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Drift Legacy,29.99,1.5,,,,,22-03-2024,COMMANDO PANDA,Auto Racing
Nickelodeon Kart Racers 2: Grand Prix,59.99,5.99,72,9,8.0,9,06-10-2020,GameMill Entertainment,Auto Racing
Rogue Heroes: Ruins of Tasos,28.95,7.23,78,19,8.1,27,23-02-2021,Team17,Roguelike
Mystical Mixing: Complete Edition,10.5,3.01,,,,,26-05-2023,QubicGames,Virtual Pet
Paper io 2: Complete Edition,10.5,4.49,,,6.1,8,09-08-2018,Voodoo,Arcade
Roman Empire Farming,15.0,4.5,,,,,15-05-2024,DEMENCI Games,Management
Helicopter Battle Arena Simulator,19.99,4.98,,,,,24-05-2024,GOGAME CONSOLE PUBLISHER,Aircraft Combat Sim
Killer Frequency,37.5,18.75,78,7,7.3,30,01-06-2023,Team17,First-Person Adventure
Master Sleuth Bundle,139.0,20.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yoku's Island Express,27.0,5.4,83,30,7.5,49,29-05-2018,Villa Gorilla,Pinball
Drawful 2,12.99,5.84,75,5,,,21-06-2016,"Jackbox Games, Inc.",Board
Real Driving Simulator,19.99,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gas Station Simulator,29.99,20.99,72,6,7.1,50,15-09-2021,Movie Games,Virtual Career
Strange Horticulture,23.25,11.62,83,13,6.4,34,21-01-2022,Iceberg Interactive,Adventure
nOS new Operating System Superb Edition,63.0,2.99,,,,,27-01-2023,RedDeerGames,Application
Ultra Foodmess 2,6.99,5.59,,,,,23-05-2024,Silesia Games,Party
Blue Fire,30.0,7.5,71,21,7.5,62,04-02-2021,Graffiti Games,3D Platformer
Blasphemous + Blasphemous 2 Bundle,68.95,41.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIY Fashion Star: Beauty Edition,13.5,4.49,,,,,01-03-2024,QubicGames,Virtual Career
Piano: Learn and Play Superb Edition,31.5,2.99,,,,,17-02-2023,RedDeerGames,Edutainment
Layers of Fear 2,45.0,6.75,70,49,6.2,175,28-05-2019,Gun Interactive,Survival
"Cook, Serve, Delicious! 3?!",25.2,3.27,79,4,7.3,12,14-10-2020,Vertigo Games,Tycoon
One Night: Burlesque Definitive Edition,21.0,2.99,,,,,03-11-2023,RedDeerGames,Visual Novel
Construction Machine Simulator 2023 : Hard Truck Work Job,19.99,1.99,,,,,16-08-2023,Midnight Works,Vehicle Sim
Comic Coloring Book Complete Edition: PAINT Premium,48.75,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Street Drag Racing Car Driving Simulator 2022 Games,7.99,1.99,,,,,26-12-2022,Midnight Works,Auto Racing
60 Seconds! Reatomized,15.0,7.5,,,7.6,7,18-12-2020,Robot Gentleman,Action Adventure
My Horse Stories: Complete Edition,21.0,8.4,,,,,31-10-2019,Crazy Labs,Horse Racing
Ninja Shadow Quest,7.5,1.5,,,,,25-05-2024,SimulaMaker,2D Platformer
ABC Follow Me: Animals,14.99,1.5,,,,,04-02-2022,Prison Games,Edutainment
TowerFall,30.0,7.5,,,8.1,13,13-11-2020,Limited Run Games,2D Platformer
Bomb Cat,10.5,2.99,,,,,03-05-2024,RedDeerGames,Puzzle
Toon Toon Racing,12.99,3.99,,,,,15-05-2023,Carmesim Game Studio Ltda,Auto Racing
