title,original_price,special_price,meta_score,meta_reviews,user_score,user_reviews,release_date,publisher,genre
AAA PRO CLOCK 2023,14.99,1.99,,,,,07-11-2023,DEZVOLT GAMES,Application
Moto Racer 2044 Game Simulator,14.99,1.99,,,,,06-09-2023,Midnight Works,Auto Racing
Adventurous Mind,69.99,23.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blade Jumper,7.5,6.37,,,,,09-09-2022,bit paradigm,2D Platformer
The Smurfs: Colorful Stories Premium Edition,18.75,2.99,,,,,08-12-2023,RedDeerGames,Edutainment
Brain Memory Ultra Extended,9.0,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hentai Golf Special Edition,33.75,2.99,,,,,15-12-2023,RedDeerGames,Golf
Lacuna + Encodya Bundle,67.5,6.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3 minutes Mystery 2,14.5,11.6,,,,,16-05-2024,Tokyo Tsushin,Puzzle
Tractor Farming Simulator 3D,10.0,2.8,,,,,02-05-2024,DEMENCI Games,Vehicle Sim
Medieval Lords,7.5,5.25,,,,,30-05-2024,Ultimate Games,Strategy
50 Pinch Barrage!!,7.5,6.7,72,5,,,12-03-2015,Mobile & Game Studio,2D Platformer
Dish Puzzle,12.0,9.0,,,,,26-05-2024,Asylum Square Interactive,Puzzle
Xuan Yuan Sword Mystic RPG Bundle,73.99,66.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Under Leaves,19.5,2.99,,,,,25-02-2021,RedDeerGames,Puzzle
Aery - A Journey Beyond Time,16.99,2.37,,,,,25-02-2021,EpiXR Games,Third-Person Adventure
Zombie Hill Race,15.0,1.5,,,,,27-10-2021,Inlogic Software,Auto Racing
International Boxing,11.99,7.19,,,,,07-08-2022,Pix Arts,Combat Sport
The Innsmouth Case,22.5,2.25,73,4,3.8,5,23-06-2020,Assemble Entertainment,Text Adventure
Dungeon and Puzzles,12.15,3.03,,,,,01-04-2021,Digital Crafter,Action Puzzle
Evil Tonight,22.5,18.0,,,8.0,4,14-10-2021,DYA Games,Survival
Tiny Lands,8.9,2.22,,,8.3,7,22-01-2021,Hyper Three Studio,Hidden Object
Umurangi Generation Special Edition,31.5,22.05,81,14,7.2,10,05-06-2021,Playism,First-Person Adventure
Gangsta Paradise,14.99,1.5,,,,,19-03-2021,Prison Games,Defense
Calculator,13.5,2.7,,,8.9,568,12-05-2021,Sabec Limited,Application
Kosmonavtes: Escape Reality,5.99,1.5,,,,,19-02-2021,LKMAD,Point-and-Click
Lumberhill - Strong Start Bundle,21.0,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Buissons,12.0,4.49,,,,,02-02-2021,Tambouille,Action
Planet Quiz: Learn & Discover,17.9,4.47,,,,,25-12-2021,naptime.games,Trivia
Go Minimal,7.5,3.75,,,,,21-01-2022,Hook Games,Board
Kao the Kangaroo: Anniversary Edition,52.79,21.11,65,17,7.6,26,27-05-2022,Tate Multimedia,3D Platformer
Trash Quest,15.0,1.5,,,,,10-12-2021,RedDeerGames,2D Platformer
Restless Soul,21.75,4.35,54,4,8.5,6,01-09-2022,Graffiti Games,Action Adventure
Batora: Lost Haven,35.45,14.18,69,9,7.2,41,20-10-2022,Team17,Action RPG
Pipes Master,4.5,1.5,,,,,10-03-2022,Gametry,Puzzle
Detective Inspector: Mysterious Clues,4.5,1.5,,,,,10-03-2022,Gametry,Hidden Object
Barn Finders,28.5,8.23,,,7.0,14,15-06-2020,Duality Studio,Virtual Career
ABC Match with Me,14.99,1.5,,,,,04-03-2022,Prison Games,Edutainment
The Rumble Fish 2 - Deluxe Edition(Game+3 Characters Bundle),23.81,16.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sudocats,4.49,1.5,,,,,10-05-2023,Silesia Games,Logic Puzzle
Kids: ZOO Puzzle,7.5,1.5,,,,,05-09-2022,Baltoro Minis,Edutainment
WorldWide FlightSimulator,22.5,18.0,,,,,25-08-2022,Airror Studio,Aircraft Sim
Mahjong Minimal,7.5,3.75,,,,,26-08-2022,Hook Games,Board
Logic Pic: Complete Bundle,15.0,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maze Blaze,14.99,1.5,,,,,06-10-2022,Revulo Games,Top-Down Shoot-'Em-Up
Animals Transport Simulator - Car Driving & Parking Games Real Zoo Park,7.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Koi DX,8.85,1.77,51,26,5.7,17,19-04-2016,Oasis Games,Action Puzzle
Kid Tripp,5.2,1.5,79,8,,,01-08-2013,,2D Platformer
Violett,15.0,2.1,61,9,7.1,30,13-12-2013,Forever Entertainment,Adventure
Silence,26.95,2.69,75,29,7.5,98,15-11-2016,Daedalic Entertainment,Adventure
INSTANT TENNIS,14.85,2.97,,,,,06-12-2018,BreakFirst,Tennis
Shift Happens,22.5,2.25,69,9,6.3,7,22-02-2017,Deck 13,2D Platformer
SkyDrift Infinity,22.5,11.25,74,6,,,29-07-2021,THQ Nordic,Aircraft Combat Sim
Yet Another Zombie Defense HD,7.5,1.5,45,10,4.4,7,22-06-2018,Awesome Games Studio,Defense
Earthworms,12.49,1.5,,,5.4,13,24-08-2018,SONKA,Point-and-Click
Tetraminos,15.0,3.0,,,,,08-09-2016,Sanuk Games,Stacking Puzzle
Fobia,14.99,2.99,,,,,20-06-2018,Tapteek,2D Platformer
Thea: The Awakening,24.99,7.49,73,13,8.4,148,20-11-2015,MuHa Games,4X Strategy
Mech Rage,15.0,1.5,,,,,14-12-2018,Ultimate Games,Top-Down Shoot-'Em-Up
Bad Dream: Coma,14.0,1.96,79,4,7.6,16,09-03-2017,PlayWay,Point-and-Click
Unforeseen Incidents,29.99,19.49,80,14,7.3,43,24-05-2018,Application Systems Heidelberg,Point-and-Click
Event Horizon,9.0,1.5,,,,,04-05-2024,Void Studios,Third Person Shooter
Rally Rock 'N Racing,15.0,3.0,,,3.5,4,28-06-2019,EnjoyUp Games,Auto Racing
Paper Dolls Original,25.5,12.75,,,,,19-09-2019,CIRCLE Entertainment,First-Person Adventure
Nyan Cat: Lost in Space,15.0,7.5,,,6.7,6,12-05-2011,isTom Games,Action
Mars Power Industries,6.49,1.5,,,,,15-11-2019,SONKA,Turn-Based Strategy
Immortal Planet,21.99,6.59,65,16,6.0,8,27-07-2017,teedoubleuGAMES,Action RPG
Q-YO Blaster,15.0,2.1,,,6.5,4,27-06-2019,Forever Entertainment,Horizontal Shoot-'Em-Up
Guitar,13.5,2.7,,,,,13-11-2020,Sabec Limited,Edutainment
BRIGANDINE The Legend of Runersia,77.95,31.18,76,31,8.3,69,25-06-2020,Happinet,Turn-Based Tactics
Cyber Hook,22.5,4.5,74,6,6.4,5,24-06-2021,Graffiti Games,3D Platformer
STAB STAB STAB!,14.95,4.48,,,,,28-02-2020,Monster Couch,Party
The Dark Eye: Chains of Satinav,29.95,2.99,75,24,7.6,149,22-06-2012,Deep Silver,Point-and-Click
60 Parsecs!,15.0,7.5,68,10,7.2,30,18-09-2018,Robot Gentleman,Adventure
Bridge Strike,10.5,1.5,,,,,05-06-2020,Drageus Games,Vertical Shoot-'Em-Up
Pack Master,7.5,2.1,,,,,14-04-2019,Lion Studios,Stacking Puzzle
The Coma 2: Vicious Sisters - Digital Deluxe Bundle,37.5,4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steampunk Tower 2,14.99,1.5,,,6.4,5,19-04-2018,DreamGate,Defense
Crypt Stalker Deluxe Edition,11.25,2.99,,,,,22-03-2024,RedDeerGames,2D Platformer
Dr Smart Space Encyclopedia,22.8,2.99,,,,,10-03-2023,RedDeerGames,Edutainment
Ugly,29.25,14.62,,,7.6,5,14-09-2023,Graffiti Games,2D Platformer
Nightmare Reaper,45.0,27.0,82,12,7.4,19,28-03-2022,Blazing Bit Games,FPS
Burrow of the Fallen Bear: A Gay Furry Visual Novel,29.99,11.99,,,,,12-01-2023,EastAsiaSoft,Visual Novel
Aircraft Carrier Survival,30.0,3.0,,,3.4,5,20-04-2022,CreativeForge Games,Real-Time Tactics
Mermaid Story,14.95,1.5,,,,,30-09-2022,Prison Games,Puzzle
Fluffy Horde,15.0,3.0,,,7.0,6,07-11-2018,Turtle Juice,Real-Time Strategy
Tangram Collection All In,7.5,5.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rainbow Runner,30.0,1.5,,,,,12-05-2023,Prison Games,Arcade
Alekon,24.0,2.4,,,,,12-06-2021,The Alekon Company,First-Person Adventure
Halftime Heroes,7.5,2.5,,,,,11-03-2022,Bigboot Studios,Top-Down Shoot-'Em-Up
Summer Party Time + Survival Pack Set,13.65,9.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Three Minutes To Eight,22.5,5.62,,,,,21-12-2023,Assemble Entertainment,Point-and-Click
Moto Racer Simulator GT Games,14.9,1.5,,,,,17-07-2023,VG Games,Auto Racing
EmyLiveShow: Hentai Puzzle Game,3.75,3.0,,,,,13-02-2024,Anime Mania,Puzzle
Drift Master Simulator 2024 - Driving Sim,18.99,1.99,,,,,18-02-2024,Success Games,Auto Racing
Have Fun Together,69.99,23.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trash Punk,15.0,1.5,,,,,25-12-2023,Baltoro Games,Top-Down Shoot-'Em-Up
Deadly Days + Orbital Bullet Bundle,52.5,5.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bubble Fresh Fruits,15.0,2.98,,,,,08-03-2024,RuWaMo Games,Matching Puzzle
The Smurfs: Learn and Play,22.5,2.99,,,,,17-11-2023,RedDeerGames,Edutainment
FoxyRush,7.99,6.39,,,,,17-05-2024,Ratalaika Games,2D Platformer
Go Kart Mania,15.0,1.5,,,,,29-03-2024,Baltoro Minis,Auto Racing
Fun Chess Legendary Edition,16.5,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nira,15.0,3.0,,,,,14-10-2021,Graffiti Games,Sandbox
Leisure Suit Larry - Wet Dreams Dry Twice,60.0,6.0,73,12,6.2,27,23-10-2020,Assemble Entertainment,Point-and-Click
My Magic Florist Deluxe Edition,12.0,1.5,,,,,15-01-2021,Cool Small Games,Puzzle
Super Sports Blast,37.5,11.25,,,,,25-12-2020,Unfinished Pixel,Sports
Space Aliens Invaders,7.99,4.79,,,,,19-06-2020,Pix Arts,Vertical Shoot-'Em-Up
Gorilla Big Adventure,7.49,4.49,,,,,13-01-2021,Pix Arts,2D Platformer
Omen of Sorrow,29.99,14.99,64,13,5.0,70,06-11-2018,AOne Games,2D Fighting
Checkers for Kids,14.99,1.5,,,,,20-08-2021,Prison Games,Board
Rogue Explorer,11.99,2.99,,,,,18-08-2021,EastAsiaSoft,Metroidvania
River City Saga: Three Kingdoms,46.95,32.86,66,7,,,21-07-2022,Arc System Works,2D Beat-'Em-Up
Fantasy Checkers,12.0,1.5,,,,,10-05-2021,Prison Games,Board
Word Crush Hidden,6.9,1.72,,,,,15-07-2021,Kistler Benjamin,Logic Puzzle
XEL,28.5,5.7,43,9,4.0,7,14-07-2022,Assemble Entertainment,Open-World Action
Smashroom,15.0,2.1,,,,,05-08-2021,Forever Entertainment,2D Platformer
Witchcrafty,15.0,7.5,,,,,20-07-2021,Sometimes You,Metroidvania
Legend of Ixtona,22.5,13.5,,,,,07-04-2022,Kemco,Turn-Based Tactics
X-Force Genesis,14.0,1.5,,,,,05-05-2022,Cube Games,Vertical Shoot-'Em-Up
Hollow 2,30.0,3.0,,,,,30-12-2021,Forever Entertainment,FPS
DRIVE DRIFT X,11.0,3.3,,,,,27-12-2021,SAT-BOX,Auto Racing
Panmorphia,10.99,2.74,,,,,06-11-2020,LKMAD,Hidden Object
Panmorphia: Enchanted,6.99,1.74,,,,,07-01-2021,LKMAD,Point-and-Click
Nirvana Deluxe Edition,11.25,1.5,,,,,,ASHITABI,Action
Zorro The Chronicles,60.0,6.0,49,7,,,16-06-2022,Nacon,Action Adventure
Lila's Sky Ark,22.5,4.5,57,8,,,21-04-2022,Graffiti Games,Action Adventure
Godlike Burger,30.0,6.0,60,4,,,21-04-2022,Daedalic Entertainment,Tycoon
DARQ Ultimate Edition,34.99,17.49,70,8,7.8,59,15-08-2019,Unfold Games,Linear Action Adventure
Universal Flight Simulator,14.99,8.99,,,,,15-07-2022,Pix Arts,Aircraft Sim
Puzzle Galaxy: Drawings Bundle - 50 puzzles,9.5,2.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blackguards 2,22.0,2.2,74,48,7.4,94,20-01-2015,Daedalic Entertainment,Turn-Based Tactics
Escape Game - FORT BOYARD 2022,39.99,9.99,,,,,07-07-2022,Microids,Trivia
Forklift Extreme,14.99,2.99,66,4,,,07-07-2022,Last Man Gaming,Vehicle Sim
RAILGRADE,43.95,26.37,79,8,7.8,5,29-09-2022,Epic Games,Tycoon
UnderDungeon Deluxe Edition,21.3,2.99,,,,,13-01-2023,RedDeerGames,Action Adventure
Hentai: Make love not war,3.3,2.64,,,,,30-05-2022,Big Way,Visual Novel
AAA Clock 2,15.0,1.5,,,,,03-11-2022,RedDeerGames,Action
Fashion Girls: Special Edition,8.25,1.5,,,,,11-08-2022,RuWaMo Games,Arcade
KURSK,14.99,2.99,42,9,3.9,41,07-11-2018,Jujubee S.A.,First-Person Adventure
Fashion Princess,14.99,1.5,,,,,01-09-2022,RuWaMo Games,Puzzle
Liberated: Enhanced Edition + NecroWorm Bundle,34.5,4.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Classic Games Collection Vol.2 Holiday Edition,7.5,1.5,,,,,23-09-2022,Baltoro Minis,Party
State of Mind,26.95,2.69,69,31,7.6,69,15-08-2018,Daedalic Entertainment,Third-Person Adventure
Owlboy,29.95,11.98,88,48,7.6,285,01-11-2016,D-Pad Studio,Action Adventure
Yodanji,7.5,3.75,54,4,6.0,9,07-12-2017,Kemco,Roguelike
Cube Life: Island Survival,21.0,15.75,55,7,7.3,18,04-06-2015,Cypronia,Sandbox
Pixel Action Heroes,7.49,5.61,,,,,30-03-2017,Cypronia,FPS
Skee-Ball,4.5,1.57,,,7.0,4,19-04-2018,Ocean Media,Arcade
Glaive: Brick Breaker,15.0,2.1,,,6.3,15,26-04-2018,Blue Sunset Games,Arcade
SmileBASIC 4 (with one Server Ticket),48.99,19.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Son of a Witch,19.5,7.8,,,,,16-05-2018,Bigosaur,Action RPG
WILL: A Wonderful World,26.95,13.47,73,6,6.9,10,18-10-2018,CIRCLE Entertainment,Visual Novel
Knock 'Em Down! Bowling,22.05,4.41,,,,,10-01-2019,D3Publisher,Bowling
Realpolitiks,37.5,3.75,52,10,6.7,27,16-02-2017,1C Entertainment,Real-Time Strategy
Nelke & the Legendary Alchemists ~Ateliers of the New World~,90.0,29.7,67,22,7.1,42,26-03-2019,Koei Tecmo Games,RPG
Deployment,15.0,2.25,,,5.8,4,10-04-2018,Whale Rock Games,Top-Down Shoot-'Em-Up
Pix the Cat,15.0,1.5,80,12,6.1,94,07-10-2014,Pasta Games,Arcade
Joggernauts,22.5,4.5,70,13,,,11-10-2018,Space Mace,2D Platformer
The King's Bird,30.0,6.0,67,15,7.2,13,23-08-2018,Serenity Forge,2D Platformer
The Long Journey Home,26.95,2.69,68,26,7.0,32,30-05-2017,Daedalic Entertainment,Action Adventure
Merchants of Kaidan,15.0,2.25,,,5.8,21,25-07-2014,Forever Entertainment,Tycoon
Felix The Reaper,23.0,2.3,67,16,6.4,11,17-10-2019,Daedalic Entertainment,Adventure
Bot Vice,15.0,3.0,,,7.3,4,11-07-2016,DYA Games,Top-Down Shoot-'Em-Up
Goonya Fighter,20.49,2.04,,,7.6,23,27-06-2019,Mutan,Party
Regency Solitaire,16.65,4.16,,,,,11-02-2015,Big Fish Games,Board
Not Not - A Brain Buster,2.99,1.5,,,,,17-05-2024,naptime.games,Action Puzzle
Automachef,22.5,4.5,68,12,6.8,6,23-07-2019,Team17,Tycoon
Asterix & Obelix XXL3: The Crystal Menhir,52.5,10.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grave Keeper,15.0,2.1,,,,,29-03-2019,Ultimate Games,Action RPG
Bubble Cats Rescue,6.0,1.5,,,,,05-07-2019,Cool Small Games,Matching Puzzle
Lust for Darkness,19.5,13.65,50,9,5.4,61,12-06-2018,Movie Games,First-Person Adventure
BDSM: Big Drunk Satanic Massacre,30.0,6.9,,,,,10-10-2019,Big Way,Top-Down Shoot-'Em-Up
Lust for Darkness: Dawn Edition,19.5,13.65,50,9,5.4,61,12-06-2018,Movie Games,First-Person Adventure
Just a Phrase by POWGI,11.99,5.99,,,,,06-02-2020,Lightwood Games,Logic Puzzle
Sniper,13.5,2.7,,,,,16-07-2020,Sabec Limited,FPS
Sudoku Relax 3 Autumn Leaves,7.65,2.1,,,,,14-11-2019,G-mode,Logic Puzzle
Event Horizon: Space Defense,10.5,1.5,,,,,13-12-2019,Drageus Games,Defense
Breakfast Bar Tycoon,7.49,1.5,,,,,20-03-2020,Baltoro Games,Tycoon
Shantae and the Seven Sirens,42.0,21.0,79,20,7.9,78,28-05-2020,WayForward,2D Platformer
Mushroom Quest,4.5,1.5,,,,,23-12-2019,Drageus Games,Action Puzzle
Tin & Kuna,37.5,3.75,70,4,,,10-09-2020,Aksys Games,3D Platformer
They Came From the Sky,3.9,1.95,,,,,20-05-2019,FobTi interactive,Arcade
Tanuki Sunset,19.99,9.99,74,7,,,04-11-2022,Digerati Distribution,Arcade Racing
NecroWorm,7.5,1.5,,,,,18-05-2017,postpunkpl,Action Puzzle
Perfect Traffic Simulator,14.99,1.5,,,,,03-09-2020,Prison Games,Action Puzzle
Tennis Open 2020,15.0,2.1,,,,,19-03-2020,Forever Entertainment,Tennis
Deadly Days,28.5,2.85,,,,,03-08-2021,Assemble Entertainment,Strategy
My Aunt is a Witch,15.0,6.0,,,,,25-11-2020,Sometimes You,Visual Novel
Super Shadow Break : Showdown! NINJA VS The Three KAIJUs,16.5,7.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Last Days,15.0,1.5,,,,,01-10-2020,Ocean Media,Puzzle
Shakes on a Plane,30.0,3.0,,,,,15-12-2020,Assemble Entertainment,Real-Time Strategy
THAT'S A COW,9.0,2.99,,,,,18-11-2022,RedDeerGames,2D Platformer
Car Parking Madness School Drive Meсhanic Car Games Simulator 2023,9.99,1.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zodiacats,4.49,1.5,,,,,21-01-2022,Devcats,Puzzle
Super Pixel Bundle,60.0,7.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Awesome Platformers Bundle (5 in 1),30.0,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Papetura,14.99,7.49,60,8,,,01-12-2022,Feardemic,Point-and-Click
3 in 1: Fashion Games!,37.99,4.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boreal Tenebrae Deluxe,12.0,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alicia Griffith: Lakeside Murder Collector's Edition,22.5,2.25,,,,,16-12-2016,Libredia,Hidden Object
Mosaic Chronicles Deluxe,19.5,2.99,,,,,17-02-2023,RedDeerGames,Puzzle
Catgotchi: Virtual Pet Deluxe Edition,19.8,2.99,,,,,07-04-2023,RedDeerGames,Virtual Pet
Dogotchi: Virtual Pet Deluxe Edition,20.25,2.99,,,,,09-06-2023,RedDeerGames,Virtual Pet
Best Action Games 5-in-1,60.0,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luna & Monsters Tower Defense -The deprived magical kingdom-,19.2,4.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Super Night Riders,7.5,1.87,36,5,5.3,7,18-05-2016,neko.works,Auto Racing
Tiny Thor,29.5,19.17,76,7,7.9,7,03-08-2023,Gameforge,2D Platformer
Racing Drift Taxi Car Simulator Ultimate,14.99,1.5,,,,,25-05-2023,VG Games,Auto Racing
First Time In Hawaii Collector's Edition,18.0,10.8,,,,,15-02-2023,Boomzap Entertainment,Hidden Object
I Love Finding Furbabies Collector's Edition,15.0,9.0,,,,,29-03-2023,Boomzap Entertainment,Hidden Object
Ultimate Racing 2D 2,15.0,10.5,,,,,15-01-2024,Applimazing,Auto Racing
Party Party Time + Ultra Pack Set,18.13,12.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crowd City: Complete Edition,10.5,3.01,,,,,22-11-2018,Voodoo,Arcade
Keep The Fire - Survival Simulator,14.99,1.99,,,,,10-11-2023,Success Games,Sandbox
Hentai Uni 2,3.75,3.0,,,,,08-08-2023,Anime Mania,Puzzle
Bit Orchard: Animal Valley Ultra Ultimate,15.75,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raid on Taihoku,15.0,9.0,,,,,15-02-2023,Mizoriot Creative Company LTD.,Action Adventure
Cluedo - Black Adder Edition,30.95,15.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aireo FlightSimulator,37.5,30.0,,,,,21-09-2023,Airror Studio,Aircraft Sim
Astro Miner: Complete Edition,10.5,4.49,,,,,23-11-2023,QubicGames,Action
DIY Paper Doll: Complete Edition,10.5,3.01,,,,,02-12-2023,QubicGames,Virtual Life
Fruity Puzzler,13.5,1.5,,,,,29-03-2024,RuWaMo Games,Matching Puzzle
Jelly Battle,4.49,3.59,,,,,17-07-2023,Big Fish Games,Strategy
Uzzuzzu My Pet - Golf Dash Premium Edition,31.5,2.99,,,,,01-12-2023,RedDeerGames,Golf
Car Parking Simulator 2024,14.99,1.5,,,,,15-09-2023,VG Games,Vehicle Sim
Favela Zombie Shooter,12.0,2.99,,,,,01-12-2023,HALVA Studio,FPS
Snap Together + Pool Together Bundle,17.85,1.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cats on Streets,5.99,2.99,,,,,16-11-2023,HALVA Studio,Hidden Object
DIY Makeup: Complete Edition,9.0,3.0,,,,,17-02-2024,QubicGames,Simulation
Anglerfish,14.99,8.99,,,,,10-11-2022,Professional Villains,Action Adventure
Fashion World Extended Edition,9.75,2.99,,,,,25-12-2023,Baltoro Games,Arcade
SNQZ,1.9,1.5,,,,,11-12-2023,Kistler Benjamin,Arcade
Hentai Girls Happy Edition,31.5,2.99,,,,,12-04-2024,CggtGroup,Puzzle
MakOS new operating system,29.99,1.99,,,,,10-02-2024,DEZVOLT GAMES,Application
RISKY CHRONICLES and the curse of destiny,15.0,7.5,,,,,26-04-2024,Consulog,2D Platformer
Mystery Box: Hidden Secrets,15.0,9.0,,,,,12-08-2023,XScoder,Puzzle
Dark Days,12.0,4.8,,,,,03-06-2016,Brutal Studio,Top-Down Shoot-'Em-Up
Jigsaw Masterpieces 2,3.0,1.5,,,,,29-02-2024,BottleCube Inc.,Puzzle
Desktop BaseBall 2,10.06,7.04,,,,,29-02-2024,SAT-BOX,Baseball
nZen Ultimate Edition,15.75,2.99,,,,,29-03-2024,RedDeerGames,Exercise
Notes + Stickers Complete Edition,21.0,2.99,,,,,03-03-2023,RedDeerGames,Application
Slayers X: Vengance of the Slayer & Hypnospace Outlaw,48.5,28.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LET'S THROOOW! Street Basketball Simulator,7.99,6.39,,,,,30-05-2024,Megame,Basketball
The Crystals of Atlantis,22.5,2.25,,,,,29-06-2010,Mass Creation,Matching Puzzle
The Magic and Murder Bundle,39.5,31.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adventure Horror Bundle,22.5,18.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
International Table Tennis,7.99,4.79,,,,,18-01-2021,Pix Arts,Individual Sports
International Basketball,8.99,5.39,,,,,06-10-2023,Pix Arts,Basketball
Hentai vs. Evil,14.99,5.99,,,3.9,7,27-05-2021,EastAsiaSoft,Third Person Shooter
Bishoujo Battle Cyber Panic!,8.99,3.59,,,,,11-03-2021,EastAsiaSoft,Action Puzzle
Fhtagn! - Tales of the Creeping Madness,9.99,1.5,,,,,22-05-2018,Design Imps,Text Adventure
Virtual Battle,10.44,3.13,,,,,11-01-2021,SAT-BOX,Tactical Third Person Shooter
Save Farty - the Trivia Game,10.5,2.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rainbow Skies,29.99,14.99,64,22,6.2,15,26-06-2018,SideQuest Studios,Turn-Based Tactics
Roundout by POWGI,11.99,5.99,,,,,21-12-2020,Lightwood Games,Logic Puzzle
Dogfight,13.5,2.7,,,,,09-02-2011,WestRiver,Action
Super Magbot,15.95,3.19,80,4,,,22-06-2021,Team17,2D Platformer
Table Soccer Foosball,7.99,4.79,,,,,13-01-2021,Pix Arts,Arcade
Pretty Girls Klondike Solitaire,8.99,3.59,,,,,17-06-2021,EastAsiaSoft,Board
Shuttlecock-H,11.99,5.99,,,,,24-05-2019,Inlet Pipe Productions,Arcade
Mini Car Racing,6.9,1.72,,,,,,eGames,Arcade Racing
Heaven Dust 2,22.5,15.75,83,4,8.1,7,06-01-2022,indienova,Survival
Moon Raider,15.0,1.5,,,,,23-04-2021,Drageus Games,2D Platformer
Faircroft's Antiques: The Heir of Glen Kinnoch Collector's Edition,15.0,1.5,,,,,18-03-2021,Ocean Media,Hidden Object
Faircroft's Antiques: Home for Christmas Collector's Edition,15.0,1.5,,,,,11-03-2021,Ocean Media,Hidden Object
Sea Battle Minimal,7.5,3.75,,,,,18-03-2022,Hook Games,Board
Abbie's Farm for kids and toddlers,15.0,7.5,,,,,01-04-2021,Asylum Square Interactive,Edutainment
Pups & Purrs Animal Hospital,45.0,11.25,,,,,11-11-2021,Aksys Games,Virtual Career
Lamentum,24.0,9.6,74,4,7.0,12,27-08-2021,Neon Doctrine,Survival
AnimaLudo,14.9,1.5,,,,,25-06-2021,Prison Games,Board
Blocky Puzzle,7.5,1.87,,,,,23-06-2021,Kistler Benjamin,Stacking Puzzle
Ambition: A Minuet in Power,27.0,13.5,75,6,7.9,7,18-08-2021,Humble Games,Visual Novel
Momolu and Friends,14.99,2.99,,,,,10-09-2021,QubicGames,Edutainment
Summertime Madness,22.5,13.5,66,5,,,26-01-2022,Sometimes You,First-Person Adventure
Growbot,25.5,16.57,70,5,7.5,4,21-10-2021,Wabisabi Games,Point-and-Click
Galaxy Squad,12.75,2.93,,,,,15-07-2019,Kazakov Oleg,Turn-Based Tactics
Bubble Bunny,4.5,1.5,,,,,29-03-2024,Kistler Benjamin,Matching Puzzle
Hunter Shooting Camp,11.99,7.19,,,,,23-07-2021,Pix Arts,Hunting
3D Air Hockey,7.99,4.79,,,,,14-07-2021,Pix Arts,Arcade
Aliisha:The Oblivion of Twin Goddesses,52.99,21.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wildcat Gun Machine,22.0,2.2,63,4,4.0,6,04-05-2022,Daedalic Entertainment,Top-Down Shoot-'Em-Up
雨音スイッチ -AmaneSwitch-,17.4,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Preschoolers: Season 1,30.0,3.0,,,,,07-10-2022,RedDeerGames,Edutainment
Animal Puzzle - Preschool Learning Game for Kids and Toddlers,15.0,9.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Space Raiders in Space,19.5,2.98,,,,,30-12-2022,RedDeerGames,Defense
Almost My Floor,15.0,7.5,,,,,07-08-2021,Potata Company,Point-and-Click
Our Winter Sports,17.48,5.24,,,,,03-02-2022,SAT-BOX,Athletics
Cartoon Tower Defense,5.99,3.59,,,,,29-12-2021,Pix Arts,Defense
Haustoria,19.5,2.99,,,,,20-03-2020,Antares Games,2D Platformer
Zumba Aqua,4.49,1.5,,,,,28-10-2021,Silesia Games,Matching Puzzle
Gerda: A Flame in Winter,29.95,11.98,84,10,8.1,15,01-09-2022,DONTNOD Entertainment,Third-Person Adventure
